id,code,name,user_type_id:id,reconcile,chart_template_id:id
a_1_118400,118400,Pph23 Dibayar Dimuka,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_118500,118500,Pph29 Dibayar Dimuka,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_118500,118500,Pajak Dibayar Dimuka Lainnya,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_120000,120000,ASET TIDAK LANCAR,account.data_account_type_current_assets,FALSE,l10n_id_nb_chart
a_1_121000,121000,ASSET TETAP,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_121100,121100,Tanah,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_121200,121200,Bangunan,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_121300,121300,Mesin & Peralatan Produksi,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_121400,121400,Peralatan dan Perlengkapan Kantor,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_121500,121500,Kendaraan,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_122000,122000,AKUMULASI PENYUSUTAN,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_122100,122100,Akumulasi Penyusutan Bangunan,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_122200,122200,Akumulasi Penyusutan Mesin dan Peralatan,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_122300,122300,Akumulasi Penyusutan Peralatan dan Perlengkapan Kantor,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_122400,122400,Akumulasi Penyusutan Kendaraan,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_123000,123000,ASET TIDAK BERWUJUD,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_123100,123100,Software,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_124000,124000,AMORTISASI,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_124100,124100,Amortisasi Software,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_125000,125000,ASSET DALAM PENYELESAIAN,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_125100,125100,Aset Dalam Penyelesaian,account.data_account_type_prepayments,FALSE,l10n_id_nb_chart
a_1_126000,126000,ASSET PAJAK TANGGUHAN,account.data_account_type_current_assets,FALSE,l10n_id_nb_chart
a_1_126100,126100,Aset Pajak Tangguhan,account.data_account_type_current_assets,FALSE,l10n_id_nb_chart
a_2_200000,200000,LIABILITAS,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_210000,210000,LIABILITAS JANGKA PENDEK,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_211000,211000,UTANG USAHA,account.data_account_type_payable,TRUE,l10n_id_nb_chart
a_2_211100,211100,Hutang Usaha,account.data_account_type_payable,TRUE,l10n_id_nb_chart
a_2_211200,211200,Hutang Belum Ditagih,account.data_account_type_payable,TRUE,l10n_id_nb_chart
a_2_212000,212000,UTANG LAIN-LAIN,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_212100,212100,Hutang Lain-lain,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_212200,212200,Hutang Pemegang Saham,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_213000,213000,UANG MUKA PENJUALAN,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_213100,213100,Pendapatan Diterima Di Muka,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_214100,214000,BIAYA YANG MASIH HARUS DIBAYAR.,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_214100,214100,Biaya Yang Masih Harus Dibayar,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_215000,215000,UTANG PAJAK,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_215100,215100,PPN Keluaran,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_215200,215200,Utang Pajak Pph 21,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_215300,215300,Utang Pajak Pph 23,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_215400,215400,Utang Pajak Pph 4 (2),account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_215500,215500,Utang Pajak Pph 29,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_216000,216000,UTANG BANK JANGKA PENDEK,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_216100,216100,Hutang Bank Permata Tbk,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_216200,216200,Hutang Permata Syariah,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_216300,216300,Hutang Bank Dassa,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_220000,220000,LIABILITAS JANGKA PANJANG,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_221000,221000,UTANG BANK JANGKA PANJANG,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_221100,221100,Hutang Bank Bukopin,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_222000,222000,LIABILITAS IMBALAN KERJA,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_222100,222100,Liabilitas Imbalan kerja,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_2_230000,230000,Stok Interim,account.data_account_type_current_liabilities,FALSE,l10n_id_nb_chart
a_3_300000,300000,EKUITAS,account.data_account_type_equity,FALSE,l10n_id_nb_chart
a_3_310000,310000,Modal Saham,account.data_account_type_equity,FALSE,l10n_id_nb_chart
a_3_320000,320000,Modal Lainnya,account.data_account_type_equity,FALSE,l10n_id_nb_chart
a_3_330000,330000,Agio Saham,account.data_account_type_equity,FALSE,l10n_id_nb_chart
a_3_340000,340000,Saldo Laba s.d Tahun Lalu,account.data_account_type_equity,FALSE,l10n_id_nb_chart
a_3_350000,350000,Laba Ditahan Tahun Berjalan,account.data_account_type_equity,FALSE,l10n_id_nb_chart
a_3_360000,360000,Pendapatan komprehensif,account.data_account_type_equity,FALSE,l10n_id_nb_chart
a_4_400000,400000,PENDAPATAN,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
